Navn,Adresse,Beskrivelse
Samos Wine Museum,"Malagari, 831 00 Samos (tlf. +30 22730 87510)","Vin: 1800-talls steinbygg. Smaking av Samos' berømte Muscat-viner ved store fat. 4 pakker: General/Classic/Deluxe/Premium. ⚠️ OBS: Stengt for individuelle besøkende siden november 2024 — kun gruppebesøk etter forhåndsavtale. Ring museet for å sjekke om besøk kan arrangeres, eller besøk EOS Samos-vinkjelleren under isteden. Pris: €5 – €50. Link: https://www.samoswine.gr/en/winemaking-facilities-museum-of-samos-wine/"
EOS Samos (vinsamvirke),"Konstantinou Kanari-gaten, Karlovasi, Samos","Vin: Besøk i vinkjelleren til øyas store vinsamvirke. (Åpent 10:00–17:00, stengt mandager) Pris: €20–30. Link: https://gastronomytours.com/tours/vakakis-winery/"
Samos Wine Routes,Hele øya,Vin: Interaktivt kart over alle vingårder og smaksmuligheter på Samos. Pris: Gratis å bruke. Link: https://www.samoswineroutes.gr/en/category/wineries/
Cinque Wine & Deli,"Voreou 10, Monastiraki, Athen","Vinbar: 30+ kuraterte vinsmakingsopplevelser, flights à 3–5 glass, oster og charcuterie. Pris: €20–50. Link: https://cinque.gr/monastiraki/"
Vintage Wine Bar & Bistro,"Mitropoleos 66-68, 105 63 Plaka, Athen","Vinbar: 500+ vinetiketter, 200+ på glass. Sitteplasser i arkade under trær ved den russisk-ortodokse kirken. Pris: €15–45. Link: https://www.tripadvisor.com/Restaurant_Review-g189400-d6981501-Reviews-Vintage_Wine_Bar_Bistro-Athens_Attica.html"
Kiki de Grèce,"Ipitou 4, 105 57 Athen (Syntagma/Plaka-grensen)","Vinbar: 50 greske viner (80% på glass), fava med karamellisert løk og røkt ål. Pris: €12–40. Link: https://starwinelist.com/wine-guide/great-wine-bars-and-wine-restaurants-in-athens"
A for Athens,"Miaouli 2-4, Monastiraki, Athen","Rooftop: Panoramautsikt, cocktails. Kom innen kl. 18 for solnedgangsplasser. Pris: Cocktails €12–15. Link: https://www.therooftopguide.com/rooftop-bars-in-athens.html"
Couleur Locale,"Normanou 3, 105 55 Athen (Monastiraki)","Rooftop: Avslappet, stor terrasse med uavbrutt Akropolis-utsikt. Pris: Cocktails ca. €12–15. Link: https://insightsgreece.com/10-best-rooftop-bars-in-athens-for-2026/"
Point-a Bar,"Herodion Hotel, Rovertou Galli 4, Athen (5. etasje)","Rooftop: 360° utsikt, stilig design. Pris: Cocktails ca. €14–18. Link: https://insightsgreece.com/10-best-rooftop-bars-in-athens-for-2026/"
Retirè,"Toppen av Ergon House, Mitropoleos-gaten, Athen",Rooftop: Nært og spektakulært Akropolis-utsikt. Reservasjon anbefales. Pris: Cocktails ca. €14–18. Link: https://www.athenstravelguides.com/posts/best-rooftop-restaurants-athens/
Brettos Bar,"Kydathineon 41, 105 58 Athen (tlf. +30 210 3232110)","Drinks: Europas nest eldste bar/destilleri, drevet siden 1909. Husholdt ouzo, brandy, tsipouro, rakomelo og 40+ likører. Åpent 10:00–03:00 daglig. Pris: rimelig."
Baba au Rum,"Kleitiou 6, 105 60 Athen (tlf. +30 21 1710 9140)",Drinks: Rangert #27 på World's 50 Best Bars 2025 — rom- og cocktailfokusert. Åpent 19:00–03:00 alle dager. Pris: Cocktails ca. €12–16.
Tailor Made,"Agias Eirinis-plassen, Monastiraki, Athen","Drinks: Cocktailbar og mikrobrenneri, populært lokalt tilholdssted. Pris: Cocktails ca. €10–14."
The Corner Bar,"Lykourgou Logotheti, 831 03 Pythagorion (tlf. +30 22730 62153)","Bar: Samos' eldste bar – over 70 år! Terrasse med kystutsikt, vennlig stemning. Pris: Cocktails ca. €8–12."
Gregory's,"Pythagorion havn, 831 03 Pythagorion (tlf. +30 694 417 0101)","Bar: Alldag-kafé og bar, cocktails og musikk utover kvelden. Pris: Cocktails ca. €8–12."
Summertime Bar,"Pythagorion havn, 831 03 Samos (tlf. +30 22730 62191)","Bar: Retro-atmosfære (Elvis/Marilyn), avslappet ved bukten. Pris: Cocktails ca. €8–12."
Escape Music Club,"Kefalopoulou 9, 831 00 Vathy, Samos (200 m fra havnen, tlf. +30 22730 28345)",Bar: Populært utested med elektronisk/pop-musikk. Rating 4.6/5. Pris: Inngang varierer.
De Bar,"Iraion, 831 00 Samos (ved stranden)","Bar: Dansing til langt på natt, DJ. 98% anbefaling (47+ reviews). Pris: Inngang varierer."
Boa Vista Cocktail Bar,"Platia, Kokkari 831 00, Samos","Drinks: Tiki-cocktailbar med imponerende rumkjeller og Latin/DJ-kvelder, utsikt over havet. Pris: Cocktails ca. €10–15. Link: https://www.tripadvisor.com/Attraction_Review-g776008-d8618422-Reviews-Boa_Vista_Cocktail_Bar-Kokkari_Samos_Northeast_Aegean_Islands.html"
Solid All Day Bar,"Themistokli Sofouli 43, 831 00 Vathy, Samos","Drinks: Moderne all-day bar med spesialkaffe og signaturcocktails fra egen mixolog, ved vannkanten. Rating 4.7/5. Åpent 08:00–02:00. Pris: Cocktails ca. €8–14. Link: https://www.tripadvisor.com/Restaurant_Review-g6617883-d10054925-Reviews-Solid_all_day_bar-Vathy_Samos_Northeast_Aegean_Islands.html"
Cafe Del Mar,"Kokkari Beach, 831 00 Kokkari, Samos","Drinks: Avslappet strandbar med Ibiza-stemning, komfortable solseter. Rating 4.4/5. Pris: midt-nivå."
